74CH19751107, 11231_ctd.nc 
06AZ152, 10049_ctd.nc 
74CH19810406, 1230_ctd.nc 
74CH19850502, 4497_ctd.nc 
49KF9110_1, 3952_ctd.nc 
09FA9606, iss3_c_hy1.csv.nc 
74CH19790911, 11647_ctd.nc 
06AZ152, ar07e_g_hy1.csv.nc 
34AR10_1, 749_ctd.nc 
49RY9306_2, pr02_h_hy1.csv.nc 
09AR9101_1, sr03_a_hy1.csv.nc 
49SU9508_1, 10258_ctd.nc 
49SU9407_1, 1737_ctd.nc 
74CH19810416, 1746_ctd.nc 
76XB09_1, 7216_ctd.nc 
74CH19900829, 5610_ctd.nc 
74CH19870606, 1298_ctd.nc 
49SU9402_2, pr17_m_hy1.csv.nc 
09AR9101_1, 6111_ctd.nc 
74LG19890505, 10227_ctd.nc 
09AR9501_1, sr03_d_hy1.csv.nc 
74CH19850120, 9_ctd.nc 
49SU9204_1, 885_ctd.nc 
06HF2092_1, 444_ctd.nc 
74CH19810704, 9405_ctd.nc 
06AZ161_2, 9354_ctd.nc 
74AB19891124, 2043_ctd.nc 
49SU9302_2, 147_ctd.nc 
74CH19781104, 11765_ctd.nc 
09FA0695, iss3_a_hy1.csv.nc 
74CH19810126, 1615_ctd.nc 
06AZ161_2, ar07e_h_hy1.csv.nc 
49SU9409_2, 8335_ctd.nc 
74JC27_1, sr01_m_hy1.csv.nc 
09AR9501_1, 6332_ctd.nc 
49RY9201_2, pr01_a_hy1.csv.nc 
74CH19770820, 6251_ctd.nc 
09AR9407_1, sr03_c_hy1.csv.nc 
74SF775, 6471_ctd.nc 
74CH19770225, 10481_ctd.nc 
49RY9106_1, pr04_b_hy1.csv.nc 
49SU9305_1, pr17_j_hy1.csv.nc 
49RY9111_1, pr03_b_hy1.csv.nc 
09AR9309_1, 4661_ctd.nc 
74CH19870424, 784_ctd.nc 
35A3ROMANCHE_2, 10702_ctd.nc 
49SU9407_1, pr17_o_hy1.csv.nc 
09AR20010101, ais01_09AR20010101_hy1.csv.nc 
74CH19790510, 10501_ctd.nc 
09AR9601_1, 1070_ctd.nc 
49SU9307_1, 2878_ctd.nc 
74CH19870108, 10084_ctd.nc 
09AR9407_1, 7363_ctd.nc 
58GS20060721, 8354_ctd.nc 
74CH19811006, 9385_ctd.nc 
06HF991_1, 7228_ctd.nc 
49SU9207_2, 1581_ctd.nc 
49RY9306_1, pr04_d_hy1.csv.nc 
74CH19750501, 4226_ctd.nc 
35MF75_1, 2963_ctd.nc 
07AL692_1, 123_ctd.nc 
74CH19780411, 10890_ctd.nc 
74CH19830810, 2959_ctd.nc 
49SU9202_4, 748_ctd.nc 
49SU9209_2, 10494_ctd.nc 
06MT30_3, 3646_ctd.nc 
74CH19871123, 5793_ctd.nc 
74CH19750704, 3658_ctd.nc 
09AR20020126, ais01_09AR20020126_hy1.csv.nc 
49SU9404_1, 220_ctd.nc 
06AQANTXIII_4, 06AQANTXIII4_hy1.csv.nc 
49KF9210_1, 6552_ctd.nc 
49RY9006_2, pr02_a_hy1.csv.nc 
06MT32_1, 2541_ctd.nc 
74CH19780531, 5545_ctd.nc 
21OR257_1, pr20_a_hy1.csv.nc 
49RY9106_2, pr02_d_hy1.csv.nc 
74CH19770414, 3808_ctd.nc 
49KF9210_1, pr03n_c_hy1.csv.nc 
49RY9006_1, pr04_a_hy1.csv.nc 
49SU9302_2, pr17_i_hy1.csv.nc 
74CH19780711, 9824_ctd.nc 
49RY9011_3, pr03_a_hy1.csv.nc 
49SU9409_2, pr17_p_hy1.csv.nc 
49SU9404_1, pr17_n_hy1.csv.nc 
06BE89_1, 8902_ctd.nc 
74CH19791028, 5422_ctd.nc 
74CH19900621, 8392_ctd.nc 
49KF9010_1, 10984_ctd.nc 
49RY9101_1, pr02_c_hy1.csv.nc 
74CH19760329, 10538_ctd.nc 
74CH19800421, 5709_ctd.nc 
49RY9206_2, pr02_f_hy1.csv.nc 
49SU9506_2, 9284_ctd.nc 
33RO20070710, 1281_ctd.nc 
49KF9010_1, pr03n_a_hy1.csv.nc 
07AL991_1, 11154_ctd.nc 
06MT22_5, 6004_ctd.nc 
74LG19890805, 6682_ctd.nc 
74CH1830523, 7499_ctd.nc 
09AR9309_1, sr03_b_hy1.csv.nc 
74CH19841116, 4625_ctd.nc 
74DI102, 443_ctd.nc 
09AR9404_1, 3721_ctd.nc 
49RY9206_1, pr04_c_hy1.csv.nc 
49SU9307_1, pr17_k_hy1.csv.nc 
35MF103_1, 6331_ctd.nc 
49RY9210_2, pr03_c_hy1.csv.nc 
